timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1541018074010,53,Go To Main Blog page,200,OK,Admin script 1-1,text,true,,29081,351,1,1,53,0,4
1541018074009,53,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,29081,351,1,1,53,80,4
1541018074143,20,Go to log in page,200,OK,Admin script 1-1,text,true,,4543,402,1,1,20,0,0
1541018074143,20,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,4543,402,1,1,20,36,0
1541018074200,27,Log in as Admin,200,OK,Admin script 1-1,text,true,,30245,1492,1,1,8,0,0
1541018074200,27,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,30245,1492,1,1,8,23,0
1541018074270,5,Open Admin Page,200,OK,Admin script 1-1,text,true,,9342,1130,1,1,5,0,0
1541018074277,9,Open Users Page,200,OK,Admin script 1-1,text,true,,6955,1175,1,1,9,0,0
1541018074298,39,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-1,text,true,,0,0,1,1,0,0,0
1541018074373,9,Add User,201,Created,Admin script 1-1,text,true,,486,1361,1,1,9,0,0
1541018074384,28,Open Admin Page,200,OK,Admin script 1-1,text,true,,9342,1130,1,1,28,0,0
1541018074414,11,Open Users Page,200,OK,Admin script 1-1,text,true,,7399,1175,1,1,11,0,0
1541018074435,2,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-1,text,true,,0,0,1,1,0,0,0
1541018074528,36,Delete user,200,OK,Admin script 1-1,,true,,182,1885,1,1,36,0,0
1541018074570,6,Open Admin Page,200,OK,Admin script 1-1,text,true,,9342,1130,1,1,6,0,0
1541018074578,7,Open Users Page,200,OK,Admin script 1-1,text,true,,6954,1175,1,1,7,0,0
1541018074592,1,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-1,text,true,,0,0,1,1,0,0,0
1541018074594,10,Add User,201,Created,Admin script 1-1,text,true,,486,1361,1,1,10,0,0
1541018074606,4,Open Admin Page,200,OK,Admin script 1-1,text,true,,9342,1130,1,1,4,0,0
1541018074611,13,Open Users Page,200,OK,Admin script 1-1,text,true,,7398,1175,1,1,13,0,0
1541018074633,0,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-1,text,true,,0,0,1,1,0,0,0
