timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549401928819,13,Go to log in page,200,OK,Admin script 1-2,text,true,,4543,406,2,6,http://10.17.174.209/blog/Account/login.aspx,12,0,2
1549401924243,58,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,32902,1510,2,6,null,0,4630,0
1549401928868,58,Log in as Editor,200,OK,Editor script 2-2,text,true,,32902,1510,2,6,http://10.17.174.209/blog/,25,0,2
1549401930294,46,Get post info by POST_ID_VAL,200,OK,Editor script 2-1,text,true,,911,1175,2,6,http://10.17.174.209/blog/api/posts/95fc7215-45d7-4a19-b65a-34276872e531,46,0,1
1549401926053,147,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,26555,1145,2,6,null,0,4392,0
1549401930445,147,Go to post  post/317-editor1,200,OK,Anonymous script 3-1,text,true,,26555,1145,2,6,http://10.17.174.209/blog/post/317-editor1,141,0,1
1549401923465,80,Log in transaction,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 3-2,,true,,37441,1502,2,6,null,0,8408,0
1549401927442,80,Log in as Anonymous,200,OK,Anonymous script 3-2,text,true,,32902,1502,2,6,http://10.17.174.209/blog/,16,0,3
1549401931954,0,Debug Sampler,200,OK,Anonymous script 3-2,text,true,,4539,0,2,6,null,0,0,0
1549401928932,73,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,33636,1129,2,6,null,0,3191,0
1549401932118,73,Go To Main Blog page,200,OK,Editor script 2-2,text,true,,33636,1129,2,6,http://10.17.174.209/blog/,64,0,2
1549401928846,45,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,32902,1488,2,6,null,0,4118,0
1549401932958,45,Log in as Admin,200,OK,Admin script 1-2,text,true,,32902,1488,2,6,http://10.17.174.209/blog/,8,0,1
1549401930595,38,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32365,1129,2,6,null,0,3235,0
1549401933812,38,Open Home Page,200,OK,Anonymous script 3-1,text,true,,32365,1129,2,6,http://10.17.174.209/blog/,32,0,1
1549401930341,650,Change Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,182,2187,2,6,null,0,3639,0
1549401933980,650,Update post,200,OK,Editor script 2-1,,true,,182,2187,2,6,http://10.17.174.209/blog/api/posts/update/foo,650,0,2
1549401933010,17,Open Admin Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,8972,1134,2,7,null,0,3243,0
1549401936253,17,Open Admin Page,200,OK,Admin script 1-2,text,true,,8972,1134,2,7,http://10.17.174.209/blog/admin,14,0,2
1549401931955,190,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-2,,true,,31695,1129,3,7,null,0,4339,0
1549401936289,190,Go To Main Blog page,200,OK,Anonymous script 3-2,text,true,,31695,1129,3,7,http://10.17.174.209/blog/,184,0,5
1549401933868,55,Open Random Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32407,1136,3,7,null,0,3778,0
1549401937641,55,Open Random Page ,200,OK,Anonymous script 3-1,text,true,,32407,1136,3,7,http://10.17.174.209/blog/?page=4,49,0,2
1549401934631,62,Add User transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,483,1361,2,7,null,0,3744,0
1549401938375,62,Add User,201,Created,Admin script 1-1,text,true,,483,1361,2,7,http://10.17.174.209/blog/api/users,62,0,2
1549401934804,9,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-3,,true,,4543,406,3,7,null,0,4287,0
1549401939083,9,Go to log in page,200,OK,Anonymous script 3-3,text,true,,4543,406,3,7,http://10.17.174.209/blog/Account/login.aspx,9,0,1
1549401936272,34,Open Users Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,6881,1179,2,7,null,0,3759,0
1549401940026,34,Open Users Page,200,OK,Admin script 1-2,text,true,,6881,1179,2,7,http://10.17.174.209/blog/api/users?filter=1==1&order=UserName&skip=0&take=0,34,0,1
1549401936485,160,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-2,,true,,31695,1129,3,7,null,0,4607,0
1549401941076,160,Open Home Page,200,OK,Anonymous script 3-2,text,true,,31695,1129,3,7,http://10.17.174.209/blog/,154,0,2
1549401937702,173,Open First Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,25863,1145,3,7,null,0,3468,0
1549401941169,173,Go to post  post/240-editor2,200,OK,Anonymous script 3-1,text,true,,25863,1145,3,7,http://10.17.174.209/blog/post/240-editor2,168,0,2
1549401938438,19,Open Admin Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,8977,1134,2,7,null,0,4110,0
1549401942548,19,Open Admin Page,200,OK,Admin script 1-1,text,true,,8977,1134,2,7,http://10.17.174.209/blog/admin,16,0,2
1549401938438,59,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,33053,1147,2,7,null,0,4606,0
1549401943036,59,Open Predefined Date,200,OK,Editor script 2-2,text,true,,33053,1147,2,7,http://10.17.174.209/blog/2019/02/05/default,53,0,3
1549401944550,1,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-2,text,true,,0,0,2,7,null,0,0,0
1549401941344,70,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,31695,1129,3,7,null,0,3149,0
1549401944468,70,Open Home Page,200,OK,Anonymous script 3-1,text,true,,31695,1129,3,7,http://10.17.174.209/blog/,64,0,3
1549401941252,200,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-2,,true,,26528,1144,3,7,null,0,4237,0
1549401945488,200,Go to post  post/57-editor1,200,OK,Anonymous script 3-2,text,true,,26528,1144,3,7,http://10.17.174.209/blog/post/57-editor1,195,0,2
1549401943103,185,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,26227,1145,2,7,null,0,4059,0
1549401947154,185,Go to post  post/371-editor2,200,OK,Editor script 2-2,text,true,,26227,1145,2,7,http://10.17.174.209/blog/post/371-editor2,180,0,2
