timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548509196499,69,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,31599,896,6,6,null,0,4417,0
1548509200908,69,Go To Main Blog page,200,OK,Main script 1-4,text,true,,31599,896,6,6,http://10.17.172.226/blog/,64,0,1
1548509197131,8,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,4674,173,7,7,null,0,5020,0
1548509202132,8,Go to log in page,200,OK,Main script 1-6,text,true,,4674,173,6,6,http://10.17.172.226/blog/Account/login.aspx,7,0,1
1548509198900,52,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,31599,914,7,7,null,0,4608,0
1548509203492,52,Open Predefined Date,200,OK,Main script 1-3,text,true,,31599,914,7,7,http://10.17.172.226/blog/2019/01/05/default,46,0,1
1548509200451,38,Open Random Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,32025,914,7,7,null,0,3708,0
1548509204141,38,Open Random Date,200,OK,Main script 1-1,text,true,,32025,914,7,7,http://10.17.172.226/blog/2019/01/07/default,32,0,2
1548509200596,34,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,31599,914,7,7,null,0,3759,0
1548509204340,34,Open Predefined Date,200,OK,Main script 1-2,text,true,,31599,914,7,7,http://10.17.172.226/blog/2019/01/05/default,28,0,2
1548509200017,120,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,31599,896,7,7,null,0,4869,0
1548509204881,120,Go To Main Blog page,200,OK,Main script 1-5,text,true,,31599,896,7,7,http://10.17.172.226/blog/,115,0,1
1548509200985,97,Open Random Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,31599,914,7,7,null,0,4011,0
1548509204981,97,Open Random Date,200,OK,Main script 1-4,text,true,,31599,914,7,7,http://10.17.172.226/blog/2019/01/05/default,91,0,1
1548509202159,74,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,32094,1136,7,7,null,0,3551,0
1548509205705,74,Log in as Anonymous,200,OK,Main script 1-6,text,true,,32094,1136,7,7,http://10.17.172.226/blog/,10,0,1
1548509202142,129,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-7,,true,,4674,173,7,7,null,0,4030,0
1548509206166,129,Go to log in page,200,OK,Main script 1-7,text,true,,4674,173,7,7,http://10.17.172.226/blog/Account/login.aspx,129,0,1
1548509203567,165,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,25529,912,8,8,null,0,4479,0
1548509208045,165,Go to post  post/267-editor2,200,OK,Main script 1-3,text,true,,25529,912,8,8,http://10.17.172.226/blog/post/267-editor2,160,0,1
